0: 1
1: 0,348,11
2: 348,3
3: 4
4: 3,350
5: 351,4,350,15
6: 352,16,17
7: 17,438,352,371,373,18
8: 443,371,373
9: 377
10: 24,378,0,9
11: 1,380,12,25,478
12: 380,11,25,26,404
13: 422,549,3,380,12,404
14: 350,15,541,28,493
15: 5,350,14,16,430,493
16: 496,430,6,15,17
17: 7,438,6,352,16,496
18: 373,7,438,19,31,32
19: 336,373,18,33,32
20: 443,336,34
21: 458,374,22,354,36
22: 374,461,21,560,36,358,37
23: 37,38,560,377,465,359
24: 10,378,9,377,465,478
25: 478,39,11,12,26,363
26: 12,25,404,363,41,27
27: 42,26,404,541,41,387
28: 14,541,493,387,562,43
29: 493,430,30,43,427
30: 496,430,29,501,427,434,45
31: 438,18,501,32,434,46
32: 33,18,31,46,47,537
33: 32,19,336,34,548,47
34: 33,548,445
35: 458,467,354
36: 354,21,22,358,356
37: 23,38,560,358,55
38: 23,37,359,55,56,362
39: 25,478,465,359,363,40
40: 363,39,359,362,57,58
41: 26,363,27,42,58,59
42: 27,41,387,59,495,507
43: 44,28,493,29,562,427
44: 43,562,427,60,61,514
45: 434,63,30,427,514,62
46: 31,32,434,63,537,518
47: 537,524,33,32,548,444
48: 49,548,445,444,66
49: 48,50,447,66,67,332
50: 447,49,332,451
51: 52,462
52: 555,51,53,462,411,536
53: 356,354,52,555,411,72
54: 358,356,55,72,73,419
55: 358,37,38,54,56,419
56: 362,38,55,419,74,75
57: 40,362,58,490,75,424
58: 59,490,363,40,41,57
59: 58,490,41,42,495,77
60: 61,562,44,507,431,79
61: 60,44,514,456,79,80
62: 45,63,514,456,476,81
63: 434,45,46,62,518,476
64: 82,83,518,476,521,480
65: 482,524,521,480,84
66: 67,444,48,49,482
67: 66,49,482,332,85,485
68: 87,332,451,485,86
69: 494,395,462,70
70: 462,536,89,90
71: 411,536,499,91,90
72: 53,356,54,411,73,91
73: 54,72,419,91,504,93
74: 419,56,94,75,93,509
75: 94,56,362,57,74,424
76: 96,551,77,516,116
77: 78,59,490,495,551,76
78: 77,495,431,437,516,540
79: 335,431,60,61,437,80
80: 100,61,456,79,335,99
81: 456,62,476,100,82,101
82: 64,83,476,81,101,102
83: 64,82,480,102,563,401
84: 482,65,480,85,104,406
85: 561,482,67,84,485,104
86: 485,87,68,105,106,412
87: 68,86,538,426,106
88: 494,128
89: 109,494,70,90
90: 110,70,71,499,89,109
91: 499,411,72,73,71,504,111
92: 344,504,113,111,112
93: 113,73,419,74,504,509
94: 75,74,424,509,114,95
95: 94,424,551,114,96,532
96: 76,551,95,516,532,115,116
97: 400,567,516,98,540,116,117
98: 540,437,335,559,97,567
99: 342,335,80,100,559,119
100: 80,456,81,99,342,101
101: 375,100,81,82,342,102
102: 563,82,83,101,375,121
103: 104,406,401,122,498,123
104: 103,406,84,85,561,409,498
105: 561,86,409,412,124
106: 412,86,87,426,107
107: 106,511,127
108: 544,128,89,109,129
109: 89,110,90,129,130
110: 90,499,109,131,130,526
111: 131,499,91,504,92,344
112: 113,92,344,545,133,345
113: 93,504,509,92,112,545
114: 509,94,95,545,134,532
115: 96,532,116,364,366,136
116: 117,96,76,516,115,97,136
117: 116,400,97,136,137,367
118: 559,400,567,119,407,138
119: 120,559,99,342,118,407,483
120: 119,342,375,489,483
121: 547,141,375,102,563
122: 563,401,103,547,123,143
123: 498,103,122,143,144,539
124: 409,105,412,439,125
125: 126,511,412,124,146,145,147
126: 511,125,127,147,474
127: 107,474,533
128: 148,108
129: 109,130,479,149
130: 109,110,129,526,149,150
131: 111,499,110,344,526,132
132: 152,131,344,526,151
133: 545,134,112,345,360,153
134: 545,133,114,532,360,364
135: 364,360,366,154,398,500
136: 366,506,115,116,117,137
137: 117,506,136,157,367,156
138: 158,407,400,118,157,367
139: 483,158,407,140,515,159
140: 413,489,139,483,159,160
141: 121,547,375,489,413,142
142: 547,141,413,143,162,161
143: 162,547,122,123,142,539
144: 539,568,498,123,439,164
145: 146,439,124,164,165
146: 145,147,165,166
147: 474,334,166
148: 544,542,169
149: 150,129,130,479,341,170
150: 149,130,526,151,170,171
151: 526,132,152,150,565,346,171
152: 132,344,345,151,565,491
153: 360,133,345,491,154,173
154: 173,360,153,135,398,174
155: 500,506,156,176,403
156: 506,137,157,155,552,177
157: 367,137,158,138,156,552,512
158: 407,138,157,139,515,512
159: 139,140,515,160,428,180
160: 413,140,159,161,180,181
161: 413,142,162,160,182,181
162: 143,142,539,161,520,182
163: 539,568,520,523,460,183
164: 439,144,568,145,523,165
165: 164,146,145,523,166,185,463
166: 334,146,147,165,463,186
167: 474,533,334,464,187
168: 466,542,169,188
169: 542,479,168,466
170: 149,150,341,171,468,190
171: 150,151,346,170,531,190
172: 491,565,173,564,365
173: 154,153,172,491,174
174: 194,154,173,398,365,175,487
175: 195,398,174,176,487
176: 503,398,155,500,175,195,403
177: 196,403,156,552,197,566
178: 198,179,552,512,566
179: 198,178,515,512,428,349
180: 200,159,160,199,428,181
181: 355,453,160,161,182,200,180
182: 520,162,161,453,181,183
183: 184,460,520,182,163,556
184: 460,183,556,204,203,202
185: 204,523,165,460,357,463
186: 206,334,166,205,463,187
187: 334,167,186,206
188: 384,209,168,466,189
189: 386,466,341,188,209,468
190: 211,170,171,210,468,389
191: 531,211,192,212,213
192: 193,531,564,365,191,213
193: 192,365,194,214,213,339
194: 174,365,193,214,487
195: 175,503,176,215,487,216
196: 403,177,503,197,508,420
197: 566,196,177,423,420
198: 179,178,566,349,423,219
199: 428,349,200,180,433,353
200: 180,199,355,181,353,440
201: 535,355,453,556,222,440,202
202: 203,556,184,535,201,223
203: 202,184,204,446,418,223,224
204: 185,184,460,357,203,446
205: 357,463,186,206,449,226
206: 186,205,187,226,382,227
207: 382
208: 384,209,228,459
209: 384,188,386,189,208,228
210: 468,386,190,229,230,389
211: 190,531,191,389,212
212: 391,211,191,389,231,213
213: 232,339,191,193,192,391,212
214: 194,193,215,487,339,393,385
215: 487,195,214,216,385,396
216: 195,503,215,508,396,414
217: 530,508,420,414,237,218
218: 237,394,423,420,217,238
219: 198,349,423,433,238,239
220: 240,221,433,353,239,534
221: 240,220,353,222,440,415
222: 440,535,201,221,415,416
223: 418,535,203,202,242,416
224: 425,203,446,418,225,244
225: 454,446,449,425,224
226: 205,206,449,454,435
227: 382,206,226,435,457
228: 209,386,208,459,247
229: 230,386,210,228,247,248,546
230: 229,210,389,231,546,505
231: 389,391,212,505,510
232: 213,339,391,338,513,233
233: 517,232,339,393,513,234
234: 519,553,393,385,517,233
235: 254,236,519,553,253
236: 396,414,530,553,235,254
237: 394,218,530,217,255,525
238: 423,219,394,218,239,408
239: 219,433,238,220,408,534
240: 221,220,415,534,258,241
241: 240,415,258,527,259,260
242: 416,418,223,261,527,243
243: 242,418,261,244,279,262
244: 263,418,425,224,243,262
245: 529,550
246: 435,457,245
247: 248,228,459
248: 247,546,469,368,471
249: 369,505,510,471,267,250
250: 267,510,338,249,251
251: 338,513,250,252,269
252: 513,517,251,270,269,372
253: 270,519,235,272,271
254: 235,236,530,255,272,522
255: 530,237,254,525,522,273
256: 379,525,257,273
257: 408,554,256,275
258: 240,554,534,241,259,381
259: 381,258,241,277,260,276
260: 277,241,261,527,259,278
261: 527,242,243,260,278,279
262: 528,243,263,244,388,279
263: 244,425,529,528,262
264: 245,246,281
265: 469,368,282,266
266: 282,368,369,370
267: 250,369,249,370,284,268
268: 284,267,250,251,285,269
269: 285,417,251,252,372
270: 253,517,519,252,372,287,271
271: 288,270,253,272,287,429
272: 254,253,522,271,288,376
273: 255,525,522,379,256,376,442
274: 448,452,379,275,291
275: 257,554,381,274,383
276: 292,259,381,277,383,293
277: 260,259,278,276,293,294
278: 261,277,260,279,294,472
279: 388,261,243,278,262
280: 388,528,297
281: 529,390,264
282: 266,265,283
283: 558
284: 268,267,370,285,410
285: 417,269,284,268,410,300
286: 543,417,372,287,300,347,301
287: 270,372,271,286,347,429
288: 271,272,289,376,361,429
289: 376,288,290,442,361,303
290: 442,289,448,303,304,305
291: 383,452,274,292,557
292: 276,291,383,293,557,307,306
293: 277,292,276,294,307,405
294: 295,277,278,293,405,309
295: 294,296,472,309,310
296: 472,388,295,280,310,311,432
297: 390,280,333
298: 558,410,337
299: 312,340,410,300,337
300: 285,417,410,543,286,299
301: 314,543,286,347,313
302: 361,429,347,314,315,392
303: 289,290,361,304,316,392
304: 290,303,305,316,397
305: 399,290,448,452,304,397
306: 307,292,557,318,475
307: 306,292,293,405,402
308: 477,402,405,309,421
309: 295,294,405,421
310: 295,309,421,481
311: 432,310,481
312: 340,299,543,313,436
313: 543,312,301,441,484
314: 301,347,302,315,450,484
315: 302,314,455,392,450,324
316: 455,392,303,304,470,326
317: 470,473,492
318: 399,557,306,473,475
319: 328,497,475,329,320
320: 329,475,477,402,502
321: 477,322,502
322: 421,481,321
323: 450,484,441
324: 315,455,488,486
325: 488,492,326
326: 492,455,316,470,488
327: 317,328,497
328: 497,319,329
329: 320,328,319,502
332: 49,50,67,485,68
333: 297
334: 166,147,474,167,186,187
335: 79,437,80,98,559,99
