0: 4768,2388
1: 895,4143,930,3204,3988,3463,3884,1513
2: 4370,5028,5024,5019,2191,4372,3
3: 4372,3398,2,4370,2193,3415,4380,1337,798
4: 2192,4371,4373,1337,798,3210,1635,1097,3315,4377,2190,3528
5: 4597,3213,1934,1368,734,3540,1096
6: 1487,3304,1864,1372,3220
7: 2114,1957,3938,2093,3224
8: 3229,1768,3277,3309
9: 887,1407,2011,3232,3828,4457
10: 3235,805,1466,1390,2011,3232
11: 3240,1451,2059,3752,4148,3314,25,1569,4084,825
12: 26,3800,4999,3657,1401,3689,1405,5003,3237,3240
13: 4209,3665,1385,3588,3242,3415,934,1408,4373,1405
14: 3672,1860,1642,3939,4146,3366,3529,1539,4172,3248,3470,4046
15: 1146,3522,2286,4596,4595,3528,4589,1860,4015,846
16: 1417,574,3705,3255,17,4016,1533,3381,496,1647
17: 3857,3255,3259,3801,16,4016,847
18: 4913,1386,4909,2466,4930,693,4911,1234,1235
19: 923,2142,4912,3741,2408,4191,4805,32,3271,4282,2143,4798
20: 3881,3277,860,3751
21: 3756,2245,3282,3521,35
22: 4195,4458,4469,4455,2239,3406
23: 478,3728,1675,378,3792,3289,2234,465,4043,1436
24: 4781,3442,4202,377,929,3412
25: 3314,899,3752,4148,11,1451,1569,4130,4084,1537,4039,4995,1552
26: 12,3800,4999,1405,5003,1097,2506,3968,3585
27: 1268,5047,5071,2528,41,5058,2157,4321,4318,4317,4315,2526,2527,4126,5062
28: 4490,4839,4848,2416,1122,2238,2417,4497,3978,2237,562,4847,1210,2415,2054,4496
29: 3827,1518,4474,910,3329,4163,4491,1122,1511,1462,3978
30: 863,4093,1948,843,3297,3631,3835,1462,2091,3338,45,1465
31: 4058,2031,1469,4154,3835,4191,2115,1544,1583,3345,434,1073,4294
32: 4805,3271,3741,2408,4803,4809,923,19,4282,2403
33: 1200,1727,856,956,4803,3352,2400
34: 
35: 3356,3282,1481,21,3756,1433
36: 4462,1525,560,1484,3898,3374,3364,983,37,3369
37: 4002,4462,36,1525,4013,4044,3364,983,3369,3284,1520,1912
38: 4456,560,2242,374,3645,3332,4138,4462,1525,3374,359
39: 3375,1537,3413,698,1504,4039,3543,3729,1007,3414,998,1689
40: 3729,1504,4201,1729,1007,3414,998,3357,1888,1548,3377,1914
41: 2528,5058,1552,1252,3568,3291,1378,1081,5069,2157,4321,4315,27
42: 3380,1568,4319,4126,3169,3793,931,2050,1743,3428,3777,1370,1739,1008
43: 2240,4482,1123,3470,836,4844,1211,4474,606,4848,4840,2416,4491
44: 3385,4147,4855,816,3966,514,4477,4856,1577,1217,4857,2437,61,4854,3036,1215,4853
45: 3338,1465,863,30,3835,2091,1544,1583,3088,1843,4110,3386,3618
46: 5228,3804,4284,537,2144,4290,1706,1745,747,1011,3844,2096
47: 2611,548,4385,602,4807,5224,2102,5233,654,5225,2099
48: 3886,1891,4206
49: 3410,3323,3535,3244,1903,672,3283,1032
50: 3423,3416,3536,1034,1677
51: 4137,4428
52: 4281,3319,1636,1563,462,3430,4276
53: 710,4137,3580,4432,1039
54: 5205,5194,4430,2217,2600,4592,1991,2298,4582
55: 5014,4862,2438,2441,4875,4865,2505,4998,4866,74,2440,1255,4620,2313,2330
56: 584,5007,4997,4678,2326,4681,4666,3061,4669,1166,1493,94,2328
57: 2493,4979,4984,5001,4978,2492,1246,4986,1254,2504,4987,490,4997,5013,2752
