0: 3723
1: 2143,4021,4961
2: 2151,5934,5759
3: 2085
4: 2159,5088
5: 2169,4028
6: 3647,3653
7: 4444,1221
8: 5261,2433,3041
9: 3288,5097
10: 3838,2008
11: 
12: 4045
13: 3839
14: 5105,3361
15: 3371,5537,4651,1268,4190
16: 4058,2247
17: 4866,2306,4060
18: 4065
19: 2422,5355,4296
20: 1315,4070,2272
21: 3683
22: 5120,5382,1318
23: 3992,4001
24: 2301,1323,4079
25: 2313,5771
26: 2560,5124
27: 3959,3967
28: 4090,2076
29: 2347,4094
30: 2681,5777
31: 
32: 5132,2385
33: 4108,2413
34: 2421,4042,1354,5064
35: 3625,3636
36: 2116,1360,3582,4270
37: 3866
38: 1367,5618,4071
39: 1373,2440,3555
40: 3904
41: 3528
42: 5143
43: 4134,2457
44: 5619,5146
45: 
46: 4140,5626
47: 5787
48: 1448,3366,4287
49: 4709,2518,4151
50: 3567
51: 5788
52: 2531,1457,3393
53: 5158,5839
54: 4785,4432,3433
55: 2813
56: 4173
57: 3710
58: 3852,581
59: 
60: 2592,5167
61: 1507,3490,2598,4547,3489
62: 1509,4191,2606
63: 2608,4582,5176
64: 3746
65: 4202,2620,4623
66: 4208
67: 3726
68: 5187
69: 1898,3568
70: 3818,1999,3812
71: 1542,2660
72: 1577,5797,4773,2669
73: 2676,1582,2948
74: 3583,3626,3506,2976
75: 1607,5281,2600
76: 3297,2689,5199
77: 5202,4043
78: 2707,5192
79: 3880,3542,3598
80: 2715,5205,4240
81: 
82: 2722,1636,4505,4925
83: 3529
84: 3749,3747
85: 5214,2762
86: 5650,5263,5052
87: 3649
88: 3587
89: 247,1686,2787
90: 5434,5222
91: 3970
92: 3828,3831
93: 
94: 2010,3843
95: 3713,1901,3572
96: 4275
97: 2819,1707
98: 2825,4282
99: 3531,3605
100: 3810,3802,3806,3738
101: 3971,2886,2057
102: 2236,2837,4293
103: 1719,4107
104: 2851,4303,1721
105: 2854,4308
106: 3944,3941
107: 1532,3650
108: 2871,4318,4390
109: 5260,1734
110: 3873,2015
111: 4446,4322,2885
112: 5262
113: 2471,4269,1752,5612
114: 4474,2479,2914
115: 3609,1935
116: 3984,3980
117: 
118: 2113
119: 
120: 
121: 2953,2907,1198
122: 4347
123: 5669,4353
124: 4095,4356
125: 4360,2991
126: 1249,5285
127: 3874
128: 3330,4548
129: 3010,4561,1273,3387
130: 
131: 4375,1285
132: 4579,2269
133: 2292,5095,5296
134: 3531,1911,3629
135: 3640
136: 
137: 3691,3955
138: 3074,4400,5624
139: 652,3594
140: 3078,5116,2573,5307
141: 3665
142: 3678
143: 
144: 3084,2749
145: 4769,1353
146: 3692
147: 
148: 1364,4466,4427,3090
149: 4801,5702
150: 2094
151: 1474,4830
152: 3107,3435
153: 3116,5323,3443,1482
154: 2162,5733,3120
155: 2103
156: 1964,3721
157: 3577,2271
158: 
159: 1362,3847,2728,4937
160: 3516
161: 3832
162: 3942,3945,2078
163: 1956,3679
164: 3859,2017,3856
165: 4464
166: 2412,3147,5211
167: 1523,5338
168: 1485,4891,5050
169: 3211,4476
170: 5346,2550
171: 4484,1539,2572
172: 4489
173: 3985
174: 5357
175: 1890,3578
176: 4499,3252,2703,1555
177: 4503
178: 1563,5362,3257
179: 1565,3532,5832
180: 2798,3282,5365,1568
181: 3287,2823
182: 3881,3879
183: 4518,5423
184: 3299,5313,5372
185: 4522
186: 3307,5377,5444
187: 3752
188: 5287,3365,5460,1158
189: 1641,4533,5385,4288
190: 1647,3420,5838
191: 3517,5840
192: 4540
193: 
194: 
195: 
196: 
197: 5394
198: 
199: 5654,5398
200: 3787
201: 3956
202: 4572,3351
203: 4575,3355,2185
204: 
205: 
206: 1712,4573,4396
207: 3369,2230
208: 4438,4333,2249
209: 3378,4602
210: 2070,4000,4005
211: 3384,5844
212: 1176,3492,1862,3518,2308
213: 3779
214: 2388,4310
215: 5416,2404
216: 4625,4119
217: 2097
218: 4631
219: 
220: 5922,4636
221: 1766,2173
222: 
223: 5846
224: 5410
225: 4480,1785
226: 1788,2205,4653
227: 2213,4656
228: 2783,4570,5436
229: 2226,1799
230: 3882,3877,2020
231: 2009,3849
232: 3987,2064,3981
233: 2248,4669,2727
234: 963,1812,2920,2256
235: 2087
236: 1195,5446
237: 2946,5450
238: 2102
239: 5851,2978,2288,4822
240: 3878,3883
241: 3268,4850
242: 1244,2303,4693
243: 
244: 4698
245: 1252,4898,4702,4139
246: 2323,4713
247: 89,1686,3498
248: 4721,2330
249: 2334,4938,2239,5473
250: 3666,1946
251: 5854,2339
252: 3988
253: 2406,5081,5497,3519,1974
254: 5481,1314
255: 2368,4737
256: 3560
257: 1565
258: 5037,2578,1331
259: 2401,4751
260: 3694,2150,1747
261: 1341,2408
262: 2410,2718,5555
263: 
264: 1352,5859,2416
265: 4046,5453,2423,1356
266: 3809
267: 2430,1361,4768
268: 4771,2444
269: 3976,3964
270: 3794
271: 2459,5504
272: 4007
273: 3643,3637
274: 5863,2492
275: 5511,3403
276: 3922,3930
277: 2506,4794
278: 3863
279: 3681
280: 1494,2522,4805
281: 2243,5524
282: 3584
283: 2283,1501,5738,4402
284: 3707
285: 3708,1961
286: 1513,4819,2563
287: 
288: 5531,5133,1518
289: 2443
290: 
291: 2590,1534,2540
292: 3798,1992,3790
293: 1544,2607,4538
294: 3824
295: 5541,1219,3702,2848,2602
296: 5153,3122,2605
297: 4845
298: 5870,4605,1625
299: 5887,3755
300: 2623,4630,1631,5548
301: 1638,5872,3402
302: 3714
303: 4857
304: 5558,2650
305: 3644
306: 3428,5563,2653
307: 2662,4868
308: 3442,4777,1658
309: 4874,2677
310: 3682,3674
311: 2685,4877
312: 5267,4841
313: 2700,5878
314: 3476,4759,4883,2706
315: 5572
316: 4888
317: 4893,2290,2724
318: 1910,3601,3955,3545
319: 3913,2036,3908
320: 2735,4900
321: 5352,4904,1753
322: 3884
323: 4515,4914
324: 2748,5584
325: 4917,2679,1780,2755
326: 3697,4458,1953
327: 3836
328: 3602,1912
329: 1879,3501,5887
330: 3916
331: 2096
332: 1800,5049,2795
333: 3934
334: 1807,2850,5417
335: 2791,2865
336: 2822,1813,5597
337: 4654,2830,4062,5599
338: 4074,2942
339: 
340: 2109
341: 4946,1826,2855
342: 4948,2859
343: 4951,1840,3168,2863
344: 3563
345: 3789
346: 
347: 
348: 4960
349: 3899,2028
350: 
351: 3990
352: 4966,1855
353: 1887,3949
354: 2916,4439
355: 5622
356: 5901,5896
357: 2831,3523,1185
358: 5506,2926,4982
359: 2929,5625,4331
360: 3552,1918,3524
361: 5630,4221
362: 3903
363: 1220,2936,3033,4358
364: 4365,5156,4063
365: 4397,4068,3135
