0: 11795,3723,6974,11717
1: 6050,4021,4961,1179
2: 2864,2151,5759,4383,5934,9477
3: 2085,11480,6125,11304
4: 2159,8477,5088,4998
5: 8103,4028,6061
6: 11086,3653,12201
7: 6301,1221,7472,8528
8: 3041,1745,9657,2433,9287
9: 8879,6173
10: 7265,7428
11: 11652
12: 7429
13: 3839,11036
14: 8883,12561
15: 5537,6784,1268,3371,8564
16: 8109,11358,8117
17: 9457,2254,9296,4060,12492
18: 7436,4065,6503
19: 10351,11063,5355
20: 10172,6141,12493,7735,4070,2272
21: 11585,3683,11494,6830,3686
22: 5120,8912,12008
23: 11164,10743,11085,4001
24: 9932,1323,6095,4079,10140,2301
25: 5771,9460,9940
26: 7925,2560,8891,9298,11189
27: 10326,10074
28: 4182,11209,10775,10782,11891
29: 2347,7807,2644,11528,8137,4094
30: 10077,2681,6038
31: 7154
32: 8417,10796
33: 7774,12537,11684,2413
34: 2421,6137,10559,2782,5064
35: 3625,6681,11088,10667
36: 9856,6680,1360,10527,7949
37: 11310,3866,6098,11670
38: 1367,6916,5618,4071,8096
39: 1373,6735,5970,2440,9691,11811
40: 9068,8154
41: 9466,6621
42: 12126
43: 10086,12065
44: 1398,5619,8907,2474,9614
45: 9467
46: 5626,8165,8216,4140,7071
47: 7159,3641,5787,9016
48: 6434,8728,3366,11656,12279
49: 5996,9716,8172
50: 3567,7081,12451,12409
51: 9824
52: 7347,7156,5816,2531
53: 10090,5839
54: 11214,4432,9380
55: 6465,12254,2813,12143,10353
56: 7461
57: 7329
58: 7356,7364,6863
59: 6787
60: 2592,10032,11315,5167
61: 8627,9741,7392,6042,9979
62: 10111,11417
63: 11855,7761
64: 7467
65: 8282,10805
66: 6436,12458,4208,7469
67: 7357,3726
68: 6751,8924,8462,5187,2874
69: 3269,11400,6322,9453,8794,1087,6143
70: 3818,12653,8263,1666,7205
71: 2660,10096,6316
72: 4773,1577,8323,10308,5797,9490
73: 2676,1582,2761,1455,11167
74: 3583,6920,3506,6472,2976,3626
75: 6558,7185,2600,6016
76: 3297,1613,5199,2689
77: 5202,12374,4043,6865
78: 9911,11418
79: 6697,3542,6130,3598,3880
80: 8936,6179,5205,4240,7922
81: 10584
82: 8189,6147,8911,7812,4925
83: 10225,10049,6561
84: 11856,7025,12354
85: 5214,8472,2762,6683,4559,8627
86: 11176,8211,5263
87: 3649,7162
88: 3587,10586
89: 247,10844,1686,6767,8960
90: 5434,9720,7327,5222,9480
91: 3970,9691,12068
92: 7289,7243,3828,6619
93: 6899
94: 7359,3843
95: 3713,11005,11802,6978
96: 7492,4275
97: 2819,10588,10936,7980
98: 8223
99: 3531,11491,1911,3605
100: 3810,3802,10740,3806,3738,8616
101: 3971,11748,5330,2886,2057,10325
102: 10303,6761,6088,4293,9485,2236
103: 1719,5951,11420,6321
104: 8995,10990,12386,8432,4348,4303
105: 12129,4308,12572
106: 10316,10106
107: 7182,4912,1532
108: 4318,11907
109: 5260,1734,4197,10382
110: 7321,7361,3873,2015,7381
111: 12475,2885
112: 5262,5983,2897,8957
113: 2471,8063,8958,1752,5612,9318
114: 4474,2914,2479,4623,8698,7085
115: 10665,10795,10384
116: 2060,10385,10530,10331,3984
117: 11725
118: 6900,12093,12324
119: 11510
120: 7006
121: 11726
122: 7508
123: 11106
124: 8253
125: 5039,8318,8254,8837,4360
126: 1249,11001,9491,5285
127: 11671,11223,3874
128: 9492,8615
129: 4561,7503,4968,1273,5991
130: 10594
131: 8452,6902,8260,1285
132: 11109,6745
133: 10825,2292,5296,5095,12557
134: 10595,6762,11326
135: 7134,7133
136: 11803
137: 3545,3955,3691,7573
138: 8267,8072,4400,3074
139: 7285,6690,652,6758,6139
140: 2573,8050,9290,9443,5307
141: 7206,3665
142: 7237,3678,7234
143: 7527
144: 11858,10921
145: 10393,4769,9060,10373
146: 7279,7260
147: 7208
148: 8083,1364,4427,3090,4466
149: 11464,5702,10117
150: 11511,6445
151: 1474,11806,12013
152: 10444,6447,4172,3107
153: 6362,1482,4797,9182,5323
154: 7393,10783,11134,5733,8635,12313
155: 9268,12073,6691,2103
156: 1964,6993,6981,12104,11727
157: 10600,6980,8800,6333
158: 11859
159: 1362,4937,9951,11149,2728
160: 12234,4026,7008,3516,7000
161: 10831
162: 10402,9815,10892,11025
163: 11426,11897,6794
164: 7542
165: 3146,4464,7543,8293
166: 5211,3147,9370,10603
167: 8989,11345,1523,11550,5338
168: 11586,6568,11821,1485,5050,11960
169: 10932,10802,2526,6298,4476
170: 8992,2550,5346
171: 8559,8301,7346,4484
172: 7549,4489,7479
173: 3985,11968,6822,12010
174: 8306,5357
175: 10834,6452,11379
176: 7455,10139,2703,6013,1555
177: 3255,5373,4503,12399,7551
178: 10689,10069,5362,8113,12539,2781
179: 5832,257,6578,6259
180: 5365,2798,3282,7857,1568
181: 11115,2823
182: 3881,10129
183: 8919,8319,11934
184: 3299,9520
185: 10601,3303,7555,4522,357
186: 5377,8183,5444,6332
187: 3752,7558
188: 3365,9943,5460,1158,5287
189: 5385,4533,4288,6484
190: 1647,10417,3420,5838,4577,4306
191: 5840,9509,9523
192: 7564,5923,9999
193: 11048
194: 7567
195: 7280
196: 6951
197: 8335
198: 7281
199: 3344,9007
200: 12184,12137
201: 9876,3956
202: 9525,6557,10614,4572
203: 7519,4575,8342
204: 7291
205: 7029
206: 3363,10599,7775,6571,6097
207: 10958,5534,2230,10966,3369
208: 8520,7601,6339,4333,12470,6231
209: 10014,6245,11913,7540,4602
210: 2070,10750,4005,4000
211: 11050,7417
212: 3518,2308,6371,1862,6098
213: 12380,11864
214: 6181,9884,7340,2388,11665
215: 9713,9532,10394,2404
216: 9019,12211,8701,7386,4119
217: 12022,11666
218: 5368,7589,11844
219: 11730
220: 9883,7575,12288,5922,5491
221: 10145,2571,9563,2173,1766
222: 7009
223: 5846,11945,9534
224: 9886,5410,6191
225: 6986,4480,10376,6342,6263,1785
226: 4653,7590,6367,9030,10899
227: 9031,12465,7964,1792
228: 2783,4570,8952,10150
229: 10537,2955,10152
230: 2020,3877,3882,12011
231: 2009,8380,3849
232: 3987,10332,10561,10737
233: 7603,2727,11325
234: 963,1812,4673,2920,2256,6094
235: 6193,11327
236: 11052,2892,10897
237: 2946,2274,9975,5450,9542
238: 11834,11732,2102
239: 10296,2978,7465,4822,5851
240: 7373,3878
241: 10623,4850
242: 6426,10413,4167,6243,2303,4693
243: 8391
244: 1248,4131,8393
245: 7811,9047,10064,1252,4139
246: 10842,7641,3349,2323
247: 89,10844,6767,3498
248: 5435,4410,7613,4721,9156
249: 2334,6348,4938,1288,5473,2239
250: 7324,3666,6763,11228
251: 5854,11007,2339,5443,8594,2336
252: 3988,11915
253: 7300,9269,1308,11857,5497,2406,6073
254: 9579,9545,5481,9737
255: 4737,6399,8399
256: 1896,6701,11226,9892,6200
257: 6929,11144,179,6578
258: 1331,10054,11353,2578,9894
259: 2401,10435,4751,12157,7686
260: 7261,3694,2150,7345
261: 1341,6203,10845,2408
262: 11306,10445,8632,11866
263: 12268
264: 6553,9521,9957,4030,1352
265: 6475,4046,8862,11513
266: 10437
267: 7705,4768,10451,1361,6531
268: 2444,4771,8407
269: 10170,10734,11455
270: 3794,10171,10281
271: 8987,9702,9065
272: 12014,12018
273: 3643,6651,10950,11054
274: 2492,10174
275: 9752,9067,3403
276: 8413,8524,3930
277: 4794,8415
278: 3854,12517,7349
279: 6805,6869,11331
280: 1494,10567,7746,10716,10472
281: 9551,9758,6493,11624,1498
282: 3584,12381,7070
283: 8860,4402,8763,7245
284: 6904,3701,11514
285: 1961,3708,6905
286: 1513,7762,4819,9553
287: 7147
288: 9606,5133,9913,1518
289: 6608,7771,2586,8423,4829
290: 11334
291: 1534,11124,6705,9664
292: 7176,3798,3790,1992
293: 4538,12497,11816,11733,8931
294: 10636
295: 5541,1219,12092,2848,2602,10306
296: 9327,9581,3122,2605,8261
297: 4845,1620,7656
298: 10637
299: 9557,3755
300: 7778,4630,8706,9012
301: 2638,6347,5872,10298,9921
302: 7302
303: 9494,7659,1642
304: 5558,9086,2650
305: 7172,3644
306: 7640,8303,2653,10185,5563
307: 4868,7546,10264,6357
308: 10639,6483,1658,10884
309: 2677,8116,7842
310: 3674,11339
311: 2685,9923,10686
312: 2773,1674,12382
313: 9560,5878
314: 9096,10670,3476,8129
315: 9097,5572
316: 2716,6943,4888,7671
317: 10991,11130,8145,2724
318: 11919,6136,1910
319: 9566
320: 4900,7859,6783,2735,4451
321: 5352,4904,10515,1753,10642
322: 3884,11437
323: 4515,11836,7680,11734
324: 8443,6056
325: 4917,7409,11414,1780,4550,10019
326: 7352,4458,6855
327: 10850,3836
328: 11056,6589
329: 10973,6637,11203,1879,5887
330: 11595
331: 11689,11963
332: 6709,11058
333: 3934,11735
334: 10815,2850,6524,5417,10611,1807
335: 10851,2791
336: 2822,9573,1813
337: 2830,4654,9157,5599,10046
338: 11439,6384
339: 12542,6497
340: 6856,11965
341: 7905,2855,6408,7486,4695
342: 4948,9115,6791
343: 8221,1840,3168,2863
344: 6879,3563,11056,3602,6229
345: 9935,3789
346: 11738,9378
347: 8463
348: 8465,9676
349: 7399,3899
350: 3527,7303
351: 11920
352: 4966,10097,8469
353: 3796,7171,9937
354: 7584,12331
355: 9122,6212
356: 11598,5901
357: 185,7555,10854,6373
358: 8993,5506,6506,7942,12435
359: 2929,6232,4331,10745,9796
360: 6258,876,12028,3552
361: 9585,4221,5630
362: 11520,11533,3903
363: 1220,3033,6241
364: 8442,2939,5156,7728,7330
365: 4397,6858,10933,10104
366: 10988,5128,5639,11239
367: 11921,7012,3735,6923
368: 5004,1239,10012,5392
369: 9942,2965
370: 5404,9129,5647
371: 12553
372: 9132,5651
373: 7331,1422
374: 6770
375: 3525,11344,6375,3589
376: 11846,11739
377: 10858,10715,6560,8574
378: 5029,11083,3045
379: 2377,10863,10580,5031
380: 6997,9945,6246
381: 9804,9141
382: 636,11869
383: 6432,11469,1333,7739,10288
384: 3658,7193
385: 5046,1342,11442
386: 7221
387: 3936,8501,8792
388: 10996,11061
389: 10654,9041,1366
390: 9948
391: 7378
392: 6966
393: 3030,5148,9107,4819,6277
394: 5849,9541,1391,3113,4668
395: 8513,4564
396: 3114,6415,5689,8517
397: 6380,10927,10462
398: 11972
399: 11973,3129
400: 4929,6513,9261,10937,1421,5661
401: 3958,11062,2061,893
402: 1969,7076,11137,6658,3604
403: 10465,3952,9507
404: 8527,3919
405: 7685,7488,4024,3144,5855
406: 5701,9155
407: 11114,9602,7805
408: 4033,8531,9137
409: 7194
410: 10467
411: 3960,10895,5708,9159
412: 3460,6660,6649,1938,1673
413: 8663,1540,5711,11139
414: 6931,12166,12019
415: 8205,9164,8098
416: 12144,6992
417: 9429,10216,5294
418: 10471,12316,7076,1969,6261
419: 7148
420: 6254,2084,11479,11523
421: 2115,11986,6906
422: 6819,3670,12208
423: 2936,12271,8512
424: 3679,11242,3851
425: 8397,5723,8541
426: 10297,6907,12164,6359
427: 8543,2134,4080
428: 9586,11066,11094
429: 5244,2141,5724,8545,12146
430: 1598,10473,5726
431: 4093,11215,5210,9368,2149
432: 4099,8547,10412
433: 5937,4101,8175,8548
434: 3422,4105,1648,10475
435: 3486,3503,1914,6435,3599,1933
436: 6374,5730,9174,10414
437: 7430,10269,2189,10452
438: 12140,9912,10477,6260,4229
439: 1688,4118,9177
440: 5734,9181
441: 10916,10912
442: 3963,2054,10866,10080,3960
443: 9185,10030
444: 2250,6390,10463,11444
445: 7795,7367,3886
446: 11745,11768
447: 12111,6609,1722,6053
448: 3685,7259,7282
449: 7049,10509,2278,9972,5438
450: 5528,9760,11975,4826,9100
451: 11143
452: 5740,8188,5758,7031,9621,12688
453: 9472,9189
454: 8805,4941,1815,2910
455: 3067,2354,8241
456: 9569,11441,6055,9625
457: 8567,8247,7992
458: 7853,12429,4174,3157,9644
459: 12589,7120
460: 5509,12155,9628,5745,1841,9147
461: 5746,8573
462: 1924,5747,9193
463: 7402
464: 2419,7875,4192,5812,9194
465: 8565,11602
466: 11974,11967
467: 6820,11894,11926,6788
468: 9630,3502,5938
469: 4204,12594,7823
470: 8013,4334,6613
471: 5750,9959,5591,3272
472: 12547,9199,8013,2455,4214
473: 12333
474: 6539,7829,11957
475: 11147,5118,3995
476: 7247,2004,12363,7889,3830,7290
477: 9633
478: 11352,11351
479: 9204
480: 2482,10233,1043
481: 8316,8079,12576,2487
482: 11429,8327,7796,4235
483: 4248,7927,10662,10226
484: 7847
485: 12007,4268,12148,1231
486: 10466,2512,11525,5668
487: 6934
488: 11248,12045
489: 3872,11249
490: 3983
491: 12512,10664
492: 2017,4372,5455,4334,2527
493: 3639,12334,1909,6538
494: 5834,9218
495: 12606
496: 6909,1616,6585,12079,11498
497: 9637
498: 9221,5753
499: 5106,7308,11876
500: 7866,12609
501: 4283,7868,12538
502: 3032,9476,9224
503: 11069,3846
504: 7871,6015,4291,2599
505: 9641,5756,2609
506: 9642,3777
507: 6730,9227,10859
508: 2622,1409,4305,12540
509: 10000,4053,11527,2626
510: 9919,3274,1423,4652
511: 11224,10240
512: 5945,5917,4697,2645,10520
513: 10488
514: 10490,10861,7208,6530
515: 6821
516: 6822,11968
517: 9971
518: 6935
519: 3894,7380
520: 11929
521: 7577,7103,7580,2035
522: 9237,5099,3395
523: 5100,4852,5520,10658,9278
524: 8365,5947,8164,12390
525: 11254
526: 8031,11158,2723,11672
527: 2732,11994,4354,8856,3222,9450
528: 9647,5109,9650
529: 4359,8047,11532,2217
530: 11819,12046
531: 3778,12054,12212,12295
532: 8630,10474,4364,10591,4996
533: 6076,5892,8779,9652
534: 7283,4020,903
535: 4374,4856,11675,9243
536: 10522,10245
537: 10880,6532
538: 2790,10246,5910
539: 4256,9245,12027
540: 4392,9506,7902,2545
541: 6936,11530
542: 3550,10149,3617,6615,10820,7278
543: 9977
544: 7103,6973,6970,12066
545: 1549,6534,4014,9125,4756
546: 6388,6409,3575
547: 1955,7074,6849,6861
548: 5487,9248,5138,7183,1557,2832
549: 1579,4082,5565,2888,9023,6081
550: 9252,2970,5140
551: 5142,11359,4132,7425
552: 2997,2858,5956
553: 12213,10615
554: 9918,9254,11365,6219
555: 12335,12099
556: 10676,4371,1623,3353,8231
557: 11256,12311
558: 7060,7102,7093,3551,11950
559: 11011,10677
560: 9473,11257,6411,3416
561: 7918,12616
562: 5151,12275,1653,3432
563: 5155,9615,9665,8111
564: 4277,10252,1661,6290,10159
565: 7420,4459,8662,7310
566: 12336
567: 7924,8886
568: 7295,7332,7297
569: 7255,2114,3820,7214
570: 9259,10504,9340,5165
571: 5168,9672,2987,6237
572: 8676,8612,4545
573: 9673,5710,5173,2244
574: 10255
575: 3911,3909,8681
576: 7933,10908,11490
577: 10346,11070,6114,7421
578: 12387,9432,1759,5387,5185
579: 10767,10257
580: 1770,3048,10449,10679
581: 7364,6863
582: 4512,9139,7939
583: 9263
584: 12619
585: 9265,2842,5194,3071
586: 8325,7668,7502,5778,9478
587: 4778,4557,3088,7511,9986
588: 12266,12276
589: 7284
590: 9988,11456
591: 10888,3833,10873
592: 7177
593: 6941,11363,10095
594: 2007,7384
595: 6776,5765,11603,4843,11409
596: 9376,9275
597: 6293,3556,10259
598: 11160,3862,11155
599: 12337,7053
600: 8640,6543,1196,5333,5574
601: 6419,7954,8611
602: 5225,9277
603: 9990
604: 8710,5230
605: 5232,9281,5224
606: 9282,5234
607: 5773,3160,1234,3228,5890
608: 8714
609: 8255,10500,4984,3164
610: 11604,3358
611: 12352,5780,11071
612: 7225,3803
613: 8575,3172,7412,2122,7963
614: 11880
615: 3176,8729,8631,4566
616: 3974,10262
617: 1319,5255,7931,2466,5513
618: 7054,11933,7047,2839,11363
619: 7413,3741
620: 12026
621: 782,5019,3181,10684,5697
622: 10503,10712,2431,10207
623: 11605
624: 9294,5114
625: 9493,9689,8725,3929
626: 5268,9413,9996,3191,1337
627: 3596,7129
628: 5272,9692
629: 3853,1348,9299
630: 11607,2091,12044,11461
631: 12082
632: 11881,11870,3975
633: 8944,10993,12361,12319,3804
634: 11543,11534,3199,4596
635: 7538,6156,5592,10003,10265
636: 6780,382
637: 12153
638: 8411,8552,4314,5291,8984,7277
639: 4614,7618,4424,4546
640: 3564,5974,2135,1393
641: 10266,2139,6303
642: 12349,12339
643: 1281,6944,1019,11750,2030
644: 9699,5915,7565
645: 9313
646: 11610,2837,4326
647: 9222,4640,1430,8749
648: 6427,11072
649: 10375,10267,7583
650: 6754,10102,1900,3684,7102
651: 2199,10200,3331,9150,1437
652: 7285,139
653: 7080,12084,7037,3763
654: 8726,11265,8752,4683,3341
655: 4689,5800,3348,8943,2214
656: 8755
657: 10001,5412,4666,8934
658: 8005
659: 10956,8696,6678,11644,3370,1449
660: 8578,8762,2238,10878
661: 1469,3417,8743,2246,8711,5322
662: 5326,9706
663: 8764,2262
664: 9668,11073,6313
665: 2271,6782,5150,11060
666: 4018,11822,5391,5979
667: 9332,5331,5183
668: 3334,5980,8812,2298
669: 10855,1627,12580
670: 3722,7314,7333
671: 11661,1633,9220,11371
672: 8789,5418,7869,8938,1634
673: 9339,10169
674: 8803,5808,9445,10691
675: 1728,12368,2338
676: 3900,8021
677: 8773,10430
678: 11168
679: 5359,8895,10692
680: 3648,10511,6256,9830,7158,5984
681: 10275,6134
682: 12214,7256,8599
683: 2402,6172,5078,8374,10512
684: 3598,1907,11065,12215
685: 8030,4739
686: 2767,8780,8810,9709,4741
687: 1926,6310,3574,6580,10191,6551,11278
688: 10076,4746,8035
689: 5478,11752,11927,10640
690: 6829,12216
691: 1830,8785,5384
692: 11466
693: 12086,3621
694: 10514,7619,2469,4770
695: 6910
696: 12217,4782,3162
697: 3671,3581,10934,11170,1885
698: 8048,4788
699: 6628
700: 12218
701: 3914,11611
702: 11074,9346,6893,11580
703: 8797,3760
704: 9358,3247
705: 11612,1433,11150
706: 7799,11753,9072
707: 11422,5532,4814,6967,7755,2525
708: 10236,4340,4818,1204
709: 10505,10547,8865,10718
710: 3661,10516,3599
711: 8058,9511,4827,11515,2552
712: 10517,9872
713: 10700,3989
714: 9106,5121,1250,7911,5401
715: 2585,5468,4835,8809,8868
716: 11377,6737,11585
717: 8811,4840
718: 10881,12087,5409,9407,4889
719: 2612,790,6655,9366,4597
720: 5993,2616,5989,9565,9930
721: 2625,7079,11884,7789,2371
722: 1310,6281,5499,3564,10235,6274
723: 2641,6145,9873,2445
724: 4485,12342,2656,6840
725: 4517,8320,3022,4766
726: 2686,1386,7799,2034,9072
727: 1882,6489,3569,6738
728: 5466,11118,766,11696,1679
729: 5310,9444,10793,9373
730: 10010,6149,3119
731: 12398,7058,12422,3565
732: 10683,8818,5510,9987
733: 8820,9805,9500
734: 8822,4875
735: 11936,3732,11667
736: 3389,8823,6045,4880,5905
737: 6324,2006,6376
738: 2769,10592,9965,5429
739: 10881,4176,2074
740: 4551,8069
741: 12267,3870,3876,7335
742: 5083,11172,3652
743: 6947,6836,11311,5459
744: 11755
745: 4908,8832,10125
746: 7003,12629,7045,12404,3742
747: 3826,7257,11784
748: 10998,11269,5742,4029,9841
749: 10519
750: 4048,1561,2827,7155,4968,2771
751: 11888
752: 6438,10906,6642
753: 4009,10708
754: 3530,6917,10791,10977,1881,3902
755: 12400
756: 10907,11047
757: 12680,7891,9561,9011,9008
758: 11045,8840
759: 7431,7445
760: 1004,7388,1898,3660
761: 6154,10294,9851
762: 2894,1640,3406,7533,8964
763: 4943,3452,6117,1321
764: 7201,4294,1672,9381
765: 8845,4945
766: 5610,8966,5466,728,1679
767: 4729,6742,9033,4342,11541
768: 2011,7312
769: 11458,12040
770: 11097,6347,6919
771: 12070,12091
772: 9405,8226,2943,4957
773: 3917,11673,11687
774: 10709
775: 7229,3669
776: 3628,9803,9733,6674,5799
777: 10710,6159,11037
778: 4509,4969,6650,9437
779: 11688,6976,6986
780: 5208,5480,10353,12254,9410
781: 1997,12296,7251,7189,12421,7258
782: 621,5019,5697,12283
783: 12415,3806,3810,12636
784: 8252,9462,4981,1791,2993
785: 3771,1026,9747,3757
786: 6001,10299,12106
787: 10525
788: 8973,9748,7678
789: 12306,3762,3764,11980
790: 2612,719,3018,8721,6655
791: 9414,2044
792: 3504,6892,6003,6738
793: 8972,6441,8568
794: 10528,10532,7275,1822
795: 9753,5850,1829,3076
796: 9926,10302,1658
797: 3184,8864,5496,10118
798: 3029,5008,8866
799: 3630,7161
800: 3514,6006,9834,6620,9751
801: 9755,9810
802: 4632,10714,1853,3034,6008
803: 11983
804: 6280,9757,11826
805: 3058,8591,5370,3254,5318,10674
806: 7007,11679,4015,10529,7670
807: 10025
808: 11475
809: 12225
810: 7132,7337,12162
811: 10949,10717,3492,6444,3510
812: 5514,10161,9422
813: 9424,5518
814: 7402,8101
815: 11892
816: 6166,10026,3367
817: 3306,5131,8996,9763,4847,10057
818: 3093,5843,4039,4247,1869
819: 7026
820: 4833,9170,10983
821: 9498,5527,11178,3321,10405
822: 9148,9767,9769
823: 6880
824: 11988,3977
825: 3978,11989
826: 2090,11476,11564
827: 8118,4059
828: 7358,7355
829: 7478,9996
830: 3993,11393,10917
831: 6017,3201,1214,11075
832: 5967,5298,5538,9770
833: 12434,3702,3994,12290
834: 11632,11764,6748
835: 7100,7186,12094
836: 3216,6450,3098,10720
837: 6176,10313
838: 10031,10115,1259
839: 3232,7485,4084,9863
840: 7643,10918
841: 2100,6694,11762,11766
842: 12345
843: 10542,11229,8138
844: 3867,3869,7318,7901
845: 3280,1277,8144,4098
846: 10543,9731,6453,6325,2635
847: 5867,5817,9603,8279,7698
848: 11767
849: 7240,7315,7339
850: 4109,8153,1306,12067,2126
851: 9778,5562,9776,6315
852: 2153,6796,6744,4774
853: 7063
854: 4409,2161,9779,6022
855: 9441
856: 10545,11292,9180,5796,9209,2248
857: 12346,12315
858: 7498,12641
859: 11801,4126,8169
860: 7340,7336
861: 6837
862: 10320,12334
863: 2227,10321,6024,9578,1377
864: 6455,11057,10920
865: 11182,5895,5181,9868
866: 12228
867: 11698,9791,6633,11618
868: 3097,12410
869: 4920,5629,3385,1630,4696
870: 1413,8848,6361,3222
871: 11183
872: 11941,11830,6752
873: 9786,1422
874: 5579,9448
875: 2341,5447,6753,6740
876: 10729,3552,360
877: 7512,2296,8245
878: 4170,8200,12447,7516,10352
879: 11397,11387
880: 1634,5569,7869,5882,3399
881: 7163,3641
882: 6199,11235,3409,1465
883: 9529,9244,10733
884: 10002,10035
885: 2111,11984,12169
886: 6982
887: 4196,6961,7882,9451
888: 10304,10556,2375,4665,3445,1483
889: 6757
890: 12645,7524,7233
891: 9791,10243
892: 2383,6759,12170
893: 7363,2061,401
894: 10186,4217,2386,7899
895: 4860,11389,7202,3858,11916
896: 11185,5893
897: 7444,8878,2393,5601
898: 7012,1566,2395,5071,3533,5603
899: 2398,8312,8214,7264
900: 10208,12330,12229,2400
901: 3719,12688,7031,6644,7073,7028
902: 5606,5798,10202
903: 534,10741
904: 10723,6597,10336
905: 11273,6803,10926,2418,10183,10204
906: 6209,10744,6485,11680
907: 4052,11277,6035,3142
908: 5920,3574,1601,8885,6580
909: 2438,12043,6464,1041
910: 8227,8333,1611,8132,10872
911: 4715,10986,3067,5595,6031,5902
912: 3785,10043
913: 8232
914: 12412
915: 7544,7451
916: 1662,5632,8519,10885,7104
917: 6039,4245,3453,10891,8150
918: 3457,6058,2499,9798
919: 2503,9452,11391,11121
920: 5863,10061,10753
921: 6657,10961,9319
922: 11392,7108
923: 12231
924: 9799,2340,5445,4393
925: 9980,12649,7994,7239,12119
926: 7136,1990,7143,3783
927: 4346,10759,6470
928: 7032
929: 6985
930: 9832,5998,2544,11595,12172
931: 12103,12009,6211,2549
932: 8903
933: 4450,11545,11500
934: 8251,9636,1786
935: 11281,2584,4504,5635
936: 6010,10886,10249,7320
937: 6884
938: 2000,3821,3813,7322
939: 11746,3558,6790,10557,6755
940: 4302,10107,7559
941: 12186,12173
942: 7562,11041,7651,4722
943: 2629,10119,1180,8409,4312
944: 10813,12174
945: 6827,11483,3656,6800
946: 3333,7568
947: 11283
948: 12074,12614,5197,2138,8011
949: 4337,7572,2311,7483,9239
950: 4911,1299,8299
951: 6378,7809,10256,1303,7952,6397
952: 9151,1319,11547
953: 12105
954: 7036
955: 11285
956: 6842,1334,8331,11286
957: 5664,2684,9455,1508
958: 2029,7395,3895,7371
959: 11287
960: 10765,3499,5916
961: 1357,5841,6049,8373,4916
962: 2728,4937,9544,2899,5918
963: 1812,234,2920,5578,1365,2733
964: 5585,2938,5356,2739,5670
965: 6480,10215,2955,2752,10766
966: 8925
967: 3382,3946,11837
968: 10015,6715
969: 2002,3822,10699,7299
970: 7088,5979,4018
971: 10341,3091,5678
972: 8932,4405,2784,8478,8702
973: 2793,6772,8490
974: 6468,8292,4419,11486
975: 11634,11639,6868
976: 2824,10059,5683,8115
977: 7408,3878,3883,8505,2021,8297
978: 7596,8514,9809
979: 2003,4514,7396,12265
980: 7599,6090,4441
981: 9463
982: 1442,11847,10179,9905,8222
983: 1464,3407,4159,6582,10440
984: 9546,6251,6692
985: 6583,4185,12012
986: 11290,9881
987: 1486,9974,2883,12625,4362,12675
988: 3566,12189,3766,7146
989: 2099,11703
